themeID,themeName,themeDescription,themeSource,themeBaseDate,isActive,isMain,insertTime,updateTime
398,"单晶硅",,1,"2016-01-21",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:38"
399,"公路运输",,1,"2016-01-15",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:38"
411,"氮肥","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:38"
414,"化肥",,1,"2016-01-21",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:38"
431,"机器人",,1,"2016-01-21",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:38"
432,"高校",,1,"2016-01-20",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:38"
435,"智能手机",,1,"2016-01-21",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:38"
471,"创投",,1,"2016-01-21",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
477,"低价",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
483,"高铁",,1,"2016-01-12",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
484,"稀土","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
488,"春节",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
489,"军工",,1,"2015-12-15",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
490,"高送转",,1,"2016-01-22",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
497,"期货",,1,"2016-01-22",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
501,"苹果",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
502,"巴菲特",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
505,"塑料制品",,1,"2016-01-21",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
507,"消费",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
508,"PTA",,1,"2015-01-13",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
510,"黄酒","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:39"
511,"现代农业",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
512,"大消费",,1,"2016-01-16",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
518,"上海迪士尼",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
522,"水利",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
541,"海南",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
542,"铁路",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
545,"园区",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
547,"订单",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
550,"能源",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
551,"实验",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
556,"基建",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
562,"液氯",,1,"2016-01-18",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
563,"地产",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
571,"中资",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
578,"兵团",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
580,"生物",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
583,"生态",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
593,"送转",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
598,"农业",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
600,"小盘",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
602,"电商",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:40"
611,"三星",,1,"2016-01-21",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:41"
623,"消防",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:41"
637,"环境保护",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:41"
644,"5G",,1,"2016-01-21",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:41"
650,"迪斯尼","上海迪士尼公园将在2015年1月30日完成施工，建成后将带动周边土地大幅升值，巨大的客流量，将对当地娱乐、餐饮、住宿、购物等行业上市公司构成利好",2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:41"
667,"锂电",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:41"
670,"互联网",,1,"2016-01-04",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
683,"手游",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
691,"国产",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
698,"抗癌",,1,"2016-01-19",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
700,"小贷",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
704,"三板",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
706,"香港",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
707,"阿里",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
708,"新经济",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
715,"动漫",,1,"2016-01-05",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
724,"文化",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
733,"网游",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
738,"新兴产业",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
742,"回购","股票回购是指上市公司从股票市场上购回一定数额的发行在外的股票。公司在股票回购完成后可以将所回购股票注销，但在大多数情况下，公司将回购的股份作为“库藏股份”保留，仍属于发行在外的股份，但不参与每般收益的计算和收益分配。库藏股票日后可移作他用，或在需要资金时将其出售。",2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
747,"大光热",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
752,"农机",,1,"2016-01-21",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
757,"腾讯",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
758,"管家",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
764,"涨价",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
768,"4G网络",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:42"
779,"通信","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
780,"电子发票",,1,"2015-01-13",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
782,"TMT",,1,"2016-01-20",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
788,"文化传媒","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
789,"游戏",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
796,"自贸",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
807,"新疆",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
821,"重工",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
832,"马云",,1,"2015-01-13",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
835,"直销银行","互联网时代的新型银行运作模式，没有营业网点，不发放实体银行卡，客户主要通过电脑、电子邮件、手机、电话等远程渠道获取银行产品和服务。",1,"2016-01-16",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
837,"水泥",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
841,"触网",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
842,"零售行业",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
846,"产业链",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
848,"金融",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
849,"复苏",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
852,"互联网安全",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
854,"外资金融",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
869,"苏宁",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
872,"光伏发电",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
876,"大金融",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
882,"眼科",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
888,"通讯",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
897,"天津",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
921,"上海",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
928,"政策",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
929,"健康产业",,1,"2015-12-03",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
933,"业绩",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
937,"疫苗",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
939,"信用卡",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
943,"医疗",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
945,"中药","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
946,"铁矿",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
949,"健康",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
954,"风电板块",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:43"
959,"煤炭",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
960,"铁矿石",,1,"2016-01-21",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
965,"国资改革",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
966,"服装",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
